signal,weight,probe_id,true_label,phrasing,is_prompt,score,band,fired
role_message,0,s5_imp_01,S5,imperative,False,0,none,0
role_message,0,s5_imp_02,S5,imperative,False,0,none,0
role_message,0,s5_imp_03,S5,imperative,False,4,none,0
role_message,0,s5_imp_04,S5,imperative,False,0,none,0
role_message,0,s5_imp_05,S5,imperative,False,0,none,0
role_message,0,s5_imp_06,S5,imperative,False,0,none,0
role_message,0,s5_imp_07,S5,imperative,False,0,none,0
role_message,0,s5_imp_08,S5,imperative,False,0,none,0
role_message,0,s5_imp_09,S5,imperative,False,4,none,0
role_message,0,s5_imp_10,S5,imperative,False,0,none,0
role_message,0,s5_imp_11,S5,imperative,False,0,none,0
role_message,0,s5_imp_12,S5,imperative,False,0,none,0
role_message,0,s5_imp_13,S5,imperative,False,0,none,0
role_message,0,s5_imp_14,S5,imperative,False,8,none,0
role_message,0,s5_imp_15,S5,imperative,False,0,none,0
role_message,0,s5_dec_01,S5,declarative,False,0,none,0
role_message,0,s5_dec_02,S5,declarative,False,0,none,0
role_message,0,s5_dec_03,S5,declarative,False,0,none,0
role_message,0,s5_dec_04,S5,declarative,False,0,none,0
role_message,0,s5_dec_05,S5,declarative,False,4,none,0
role_message,0,s5_dec_06,S5,declarative,False,0,none,0
role_message,0,s5_dec_07,S5,declarative,False,0,none,0
role_message,0,s5_dec_08,S5,declarative,False,0,none,0
role_message,0,s5_dec_09,S5,declarative,False,0,none,0
role_message,0,s5_dec_10,S5,declarative,False,0,none,0
role_message,0,s5_dec_11,S5,declarative,False,0,none,0
role_message,0,s5_dec_12,S5,declarative,False,0,none,0
role_message,0,s5_dec_13,S5,declarative,False,0,none,0
role_message,0,s5_dec_14,S5,declarative,False,0,none,0
role_message,0,s5_ind_01,S5,indirect,False,0,none,0
role_message,0,s5_ind_02,S5,indirect,False,0,none,0
role_message,0,s5_ind_03,S5,indirect,False,0,none,0
role_message,0,s5_ind_04,S5,indirect,False,0,none,0
role_message,0,s5_ind_05,S5,indirect,False,0,none,0
role_message,0,s5_ind_06,S5,indirect,False,0,none,0
role_message,0,s5_ind_07,S5,indirect,False,0,none,0
role_message,0,s5_ind_08,S5,indirect,False,0,none,0
role_message,0,s5_ind_09,S5,indirect,False,0,none,0
role_message,0,s5_ind_10,S5,indirect,False,0,none,0
role_message,0,s6_rp_01,S6,roleplay,False,4,none,0
role_message,0,s6_rp_02,S6,roleplay,False,4,none,0
role_message,0,s6_rp_03,S6,roleplay,False,4,none,0
