filename,probe_id,true_label,phrasing,is_prompt,direct_score,n_nodes,node_score,node_band,node_signals
pasted.txt,s5_imp_01,S5,imperative,False,0,0,0,none,
pasted.txt,s5_imp_02,S5,imperative,False,0,0,0,none,
pasted.txt,s5_imp_03,S5,imperative,False,4,0,0,none,
pasted.txt,s5_imp_04,S5,imperative,False,0,0,0,none,
pasted.txt,s5_imp_05,S5,imperative,False,0,0,0,none,
pasted.txt,s5_imp_06,S5,imperative,False,0,0,0,none,
pasted.txt,s5_imp_07,S5,imperative,False,0,0,0,none,
pasted.txt,s5_imp_08,S5,imperative,False,0,0,0,none,
pasted.txt,s5_imp_09,S5,imperative,False,4,0,0,none,
pasted.txt,s5_imp_10,S5,imperative,False,0,0,0,none,
pasted.txt,s5_imp_11,S5,imperative,False,0,0,0,none,
pasted.txt,s5_imp_12,S5,imperative,False,0,0,0,none,
pasted.txt,s5_imp_13,S5,imperative,False,0,0,0,none,
pasted.txt,s5_imp_14,S5,imperative,False,8,0,0,none,
pasted.txt,s5_imp_15,S5,imperative,False,0,0,0,none,
pasted.txt,s5_dec_01,S5,declarative,False,0,0,0,none,
pasted.txt,s5_dec_02,S5,declarative,False,0,0,0,none,
pasted.txt,s5_dec_03,S5,declarative,False,0,0,0,none,
pasted.txt,s5_dec_04,S5,declarative,False,0,0,0,none,
pasted.txt,s5_dec_05,S5,declarative,False,4,0,0,none,
pasted.txt,s5_dec_06,S5,declarative,False,0,0,0,none,
pasted.txt,s5_dec_07,S5,declarative,False,0,0,0,none,
pasted.txt,s5_dec_08,S5,declarative,False,0,0,0,none,
pasted.txt,s5_dec_09,S5,declarative,False,0,0,0,none,
pasted.txt,s5_dec_10,S5,declarative,False,0,0,0,none,
pasted.txt,s5_dec_11,S5,declarative,False,0,0,0,none,
pasted.txt,s5_dec_12,S5,declarative,False,0,0,0,none,
pasted.txt,s5_dec_13,S5,declarative,False,0,0,0,none,
pasted.txt,s5_dec_14,S5,declarative,False,0,0,0,none,
pasted.txt,s5_ind_01,S5,indirect,False,0,0,0,none,
pasted.txt,s5_ind_02,S5,indirect,False,0,0,0,none,
pasted.txt,s5_ind_03,S5,indirect,False,0,0,0,none,
pasted.txt,s5_ind_04,S5,indirect,False,0,0,0,none,
pasted.txt,s5_ind_05,S5,indirect,False,0,0,0,none,
pasted.txt,s5_ind_06,S5,indirect,False,0,0,0,none,
pasted.txt,s5_ind_07,S5,indirect,False,0,0,0,none,
pasted.txt,s5_ind_08,S5,indirect,False,0,0,0,none,
pasted.txt,s5_ind_09,S5,indirect,False,0,0,0,none,
pasted.txt,s5_ind_10,S5,indirect,False,0,0,0,none,
pasted.txt,s6_rp_01,S6,roleplay,False,4,0,0,none,
pasted.txt,s6_rp_02,S6,roleplay,False,4,0,0,none,
pasted.txt,s6_rp_03,S6,roleplay,False,4,0,0,none,
pasted.txt,s6_rp_04,S6,roleplay,False,0,0,0,none,
pasted.txt,s6_rp_05,S6,roleplay,False,8,0,0,none,
pasted.txt,s6_rp_06,S6,roleplay,False,0,0,0,none,
pasted.txt,s6_rp_07,S6,roleplay,False,0,0,0,none,
pasted.txt,s6_rp_08,S6,roleplay,False,0,0,0,none,
pasted.txt,s6_enc_01,S6,encoding,False,4,0,0,none,
pasted.txt,s6_enc_02,S6,encoding,False,0,0,0,none,
pasted.txt,s6_enc_03,S6,encoding,False,4,0,0,none,
pasted.txt,s6_enc_04,S6,encoding,False,4,0,0,none,
pasted.txt,safe_01,SAFE,benign,False,0,0,0,none,
pasted.txt,safe_02,SAFE,benign,False,4,0,0,none,
pasted.txt,safe_03,SAFE,benign,False,4,0,0,none,
pasted.txt,safe_04,SAFE,benign,False,4,0,0,none,
pasted.txt,safe_05,SAFE,benign,False,0,0,0,none,
pasted.txt,safe_06,SAFE,benign,False,0,0,0,none,
pasted.txt,safe_07,SAFE,benign,False,4,0,0,none,
pasted.txt,safe_08,SAFE,benign,False,0,0,0,none,
pasted.txt,safe_09,SAFE,benign,False,0,0,0,none,
pasted.txt,safe_10,SAFE,benign,False,0,0,0,none,
pasted.txt,safe_11,SAFE,benign,False,0,0,0,none,
pasted.txt,safe_12,SAFE,benign,False,4,0,0,none,
pasted.txt,safe_13,SAFE,benign,False,0,0,0,none,
